Headline;Summary;Organization;Category;File format;Views;Tags;URL
Vides novērošanas stacijas (INSPIRE View);"Vides novērošanas stacijas satur sekojošus staciju tīklus:
- Virszemes ūdens kvalitātes novērošanas stacijas;
- Vazemes ūdens novērošanas stacijas;
- Valsts meteroloģiskās stacijas (https://geolatvija.lv/geo/p/545)";ĢEOLatvija.lv;Cits;WMS, ;88 skatījumi;dati, par, stāvokli, vides, ;https://data.gov.lv/dati/lv/dataset/vides-novroanas-stacijas-inspire-view
Administratīvās teritorijas – 2021;"Administratīvo teritoriju robežas no 2021. gada 1. jūlija; Dati sagatavoti, izmantojot Valsts zemes dienesta Valsts adrešu reģistra informācijas sistēmas ģeotelpiskos datus (https://geolatvija.lv/geo/p/660)";ĢEOLatvija.lv;Cits;;100 skatījumi;LKS 1992 Latvia TM, Shapefile, jūra, ;https://data.gov.lv/dati/lv/dataset/administratvs-teritorijas-20211
Plūdu riska karte (INSPIRE WMS);Serviss satur plūdu riska karti Lielupes lejtecei, kas sagatavota atbilstoši INSPIRE prasībām (https://geolatvija.lv/geo/p/323);ĢEOLatvija.lv;Cits;WMS, ;300 skatījumi;plūdu, prognoze, ;https://data.gov.lv/dati/lv/dataset/pldu-riska-karte-inspire-wms75
Vilcienu kustības saraksts iekšzemes dzelzceļa maršrutos (GTFS formātā);Iekšzemes dzelzceļa vilcienu kustības saraksts GTFS formātā.;VSIA Autotransporta direkcija;Iedzīvotāji un sabiedrība, Transports, ;ZIP, ;129 skatījumi;ATD, Biļetes cena, Kustības saraksts, Maršruti, PV, Pasažieru Vilciens, Stacija, Tarifs, Vilciens, ;https://data.gov.lv/dati/lv/dataset/iekszemes-dzelzcela-vilcienu-kustibas-saraksts-gtfs-formata
Latvijas kultūras institūcijas;Latvijas kultūras institūciju saraksts ar piederību nozarei, to adreses un koordinātas. Informācija no https://kulturasdati.lv;Kultūras informācijas sistēmu centrs;Kultūra, ;CSV, ;1365 skatījumi;adreses, instūcijas, koordinātas, objekti, ;https://data.gov.lv/dati/lv/dataset/latvijas-kulturas-institucijas
Traktortehnikas reģistrācijas dati Latvijas Republikā;Traktortehnikas reģistrācijas dati tiek apkopoti par pirmo reizi reģistrēto jauno un lietoto traktortehniku, tās piekabēm un to markām, kā arī traktortehnikas iedalījums pa grupām un pēc īpašuma veida no valsts informācijas sistēmas “Traktortehnikas un tās vadītāju informācijas sistēma”, kā arī dati par traktortehnikas un tās piekabes vienību.;Valsts tehniskās uzraudzības aģentūra;Zemkopība, pārtika un mežsaimniecība, ;CSV, XLSX, ;5323 skatījumi;VTUA, piekabes, reģistrācija, tirdzniecība, traktors, traktortehnika, ;https://data.gov.lv/dati/lv/dataset/traktortehnikas-registracijas-dati-latvijas-republika
Traktortehnikas vadītāju izglītības iestādes;Ja personai ir nepietiekamas zināšanas un prasmes, lai iegūtu nepieciešamo traktortehnikas kategorijas vadītāja apliecību, tās ir apgūstamas traktortehnikas vadītāju izglītības iestādē, kura izsniedz mācību reģistrācijas karti (apliecinājumu), ka persona sekmīgi pabeigusi teorētisko un praktisko apmācību atbilstoši normatīvajiem aktiem par traktortehnikas vadītāju sagatavošanas kārtību.;Valsts tehniskās uzraudzības aģentūra;Transports, Zemkopība, pārtika un mežsaimniecība, ;CSV, XLSX, ;6023 skatījumi;VTUA, izglītības iestādes, piekabes, traktors, traktortehnika, ;https://data.gov.lv/dati/lv/dataset/traktortehnikas-vaditaju-izglitibas-iestades
Bibliotēku statistika;Bibliotēku ikgadējā statistika, kas tiek iesniegta Latvijas kultūras datu portālā https://www.kulturasdati.lv. Tiek atrādīti tikai sistēmā apstiprinātie dati.;Kultūras informācijas sistēmu centrs;Kultūra, ;CSV, ;1911 skatījumi;bibliotēkas, statistika, ;https://data.gov.lv/dati/lv/dataset/biblioteku-statistika
Statistika par nozveju;Statistika par nelimitēto sugu nozveju Baltijas jūrā.;Zemkopības ministrija;Cits;XLS, ;77 skatījumi;nozveja, statistika, ;https://data.gov.lv/dati/lv/dataset/statistika-par-nozveju
Zivju pirmo pircēju saraksti;Zivju pircēji;Zemkopības ministrija;Cits;CSV, ;96 skatījumi;pircēji, zivs, ;https://data.gov.lv/dati/lv/dataset/zivju-pirmo-pirceju-saraksti
Administratīvās teritorijas – 2021;"Administratīvo teritoriju robežas no 2021. gada 1. jūlija; Dati sagatavoti, izmantojot Valsts zemes dienesta Valsts adrešu reģistra informācijas sistēmas ģeotelpiskos datus (https://geolatvija.lv/geo/p/658)";ĢEOLatvija.lv;Cits;WFS, ;71 skatījumi;jūra, ;https://data.gov.lv/dati/lv/dataset/administratvs-teritorijas-20212
Administratīvās teritorijas – 2021;"Administratīvo teritoriju robežas no 2021. gada 1. jūlija;
Dati sagatavoti, izmantojot Valsts zemes dienesta Valsts adrešu reģistra informācijas sistēmas ģeotelpiskos datus (https://geolatvija.lv/geo/p/657)";ĢEOLatvija.lv;Cits;WMS, ;50 skatījumi;jūra, ;https://data.gov.lv/dati/lv/dataset/administratvs-teritorijas-2021
Statistika par VISS datu apmaiņām;Statistika par datu apmaiņām, izmantojot Valsts informācijas sistēmu savietotāja (VISS) infrastruktūru.;Valsts reģionālās attīstības aģentūra;Valsts pārvalde, ;CSV, ;384 skatījumi;Datu apmaiņas, Datu devēji, Datu ņēmēji, VISS, ;https://data.gov.lv/dati/lv/dataset/statistika-par-viss-datu-apmainam
Valsts ģeodēziskā tīkla datubāzes punktu ģeotelpiskie dati;"Valsts ģeodēziskā tīkla datubāzes (VĢTDB) mērķis ir apkopot, uzkrāt un uzturēt aktuālu informāciju par Valsts ģeodēzisko tīklu.
Datu bāzes dati pieejami CSV formātā (https://geolatvija.lv/geo/p/302)";ĢEOLatvija.lv;Cits;;89 skatījumi;CSV, LKS 1992 Latvia TM, koordinātu, sistēma, ;https://data.gov.lv/dati/lv/dataset/valsts-eodzisk-tkla-datubzes-punktu-eotelpiskie-dati
Digitālā augstuma modeļa pamatdati (no aerolāzerskenēšanas datiem);Digitālā augstuma modeļa pamatdati ir klasificētu aerolāzerskenēšanas punktu kopums, kur katram punktam ir zināmas plaknes koordinātas (X,Y) un augstums virs jūras līmeņa (Z). Modeļa dati ir piesaistīti koordinātu sistēmai LKS-92 TM un Latvijas normālo augstumu sistēmai LAS-2000,5. Pamatdati iegūti ar aerolāzerskenēšanas metodi. Kopējais iegūto punktu blīvums ne mazāks par 4 p/m², zemes virsmu raksturojošo punktu vidējais blīvums ne mazāks par 1,5 p/m². Dati pieejami par 2016. - 2019. gadam. (https://geolatvija.lv/geo/p/512);ĢEOLatvija.lv;Cits;;124 skatījumi;ETRS 1989 TM Baltic..., aprises,, nenoteikts, reljefs, sauszemes, ;https://data.gov.lv/dati/lv/dataset/digitl-augstuma-modea-pamatdati-no-aerolzerskenanas-datiem
Digitālais reljefa modelis ar tīkla soli 20m;Digitālais reljefa modelis ar soli starp punktiem 20 metri (https://geolatvija.lv/geo/p/313);ĢEOLatvija.lv;Cits;;50 skatījumi;ETRS 1989 TM Baltic..., nenoteikts, ģeogrāfija, ;https://data.gov.lv/dati/lv/dataset/digitlais-reljefa-modelis-ar-tkla-soli-20m
Topogrāfisko karšu nomenklatūra (karšu lapu dalījums TKS-93) - WMS serviss;Pieejams topogrāfisko karšu lapu dalījums TKS-93 sistēmā, ko veido LKS-92 TM taisnleņķa koordinātu tīkls, mērogiem 1:2000, 1:10000 un 1:50 000, kā arī UTM sistēmā mērogam 1:50000. (https://geolatvija.lv/geo/p/196);ĢEOLatvija.lv;Cits;WMS, ;64 skatījumi;karte, ;https://data.gov.lv/dati/lv/dataset/topogrfisko-karu-nomenklatra-karu-lapu-daljums-tks-93-wms-serviss
Izdienas pensiju saņēmēju skaits un pensijas vidējais piešķirtais apmērs;"Valsts sociālās apdrošināšanas uzskaitē esošie izdienas pensiju saņēmēji (personas, kurām pārskata periodā ir tiesības uz pakalpojumu, t.i., personas, kurām, pamatojoties uz personas iesniegumu, ir piešķirts pakalpojums) un piešķirtās izdienas pensijas vidējais apmērs. 
Piešķirtais apmērs ir apmērs, kas personai piešķirts saskaņā ar likumdošanas normām par pilnu kalendāro mēnesi (bruto summa). 
Dati sadalījumā pēc dzimumiem, republikas nozīmes pilsētām un novadiem.";Valsts sociālās apdrošināšanas aģentūra;Iedzīvotāji un sabiedrība, ;XLSX, ;451 skatījumi;Izdienas pensijas, VSAA, atbalsts naudā, pensijas, ;https://data.gov.lv/dati/lv/dataset/izdienas-pensiju-sanemeju-skaits-un-pensijas-videjais-pieskirtais-apmers
Apgādnieka zaudējuma pensiju saņēmēju skaits un pensijas vidējais piešķirtais apmērs;"Valsts sociālās apdrošināšanas uzskaitē esošie apgādnieka zaudējuma pensiju saņēmēji (personas, kurām pārskata periodā ir tiesības uz pakalpojumu, t.i., personas, kurām, pamatojoties uz personas iesniegumu, ir piešķirts pakalpojums) un viņu piešķirtās pensijas apmērs. 
Piešķirtais apmērs ir apmērs, kas personai piešķirts saskaņā ar likumdošanas normām par pilnu kalendāro mēnesi (bruto summa). 
Dati sadalījumā pēc dzimumiem, republikas nozīmes pilsētām un novadiem.";Valsts sociālās apdrošināšanas aģentūra;Iedzīvotāji un sabiedrība, ;XLSX, ;286 skatījumi;Apgādnieka zaudējum..., VSAA, atbalsts naudā, pensijas, ;https://data.gov.lv/dati/lv/dataset/apgadnieka-zaudejuma-pensiju-sanemeju-skaits-un-pensijas-videjais-pieskirtais-apmers
Invaliditātes pensiju saņēmēju skaits un pensijas vidējais piešķirtais apmērs;"Valsts sociālās apdrošināšanas uzskaitē esošie invaliditātes pensiju saņēmēji (personas, kurām pārskata periodā ir tiesības uz pakalpojumu, t.i., personas, kurām, pamatojoties uz personas iesniegumu, ir piešķirts pakalpojums) un viņu piešķirtās pensijas apmērs (ar piemaksu). 
Piešķirtais apmērs ir apmērs, kas personai piešķirts saskaņā ar likumdošanas normām par pilnu kalendāro mēnesi (bruto summa). 
Dati sadalījumā pēc dzimumiem, republikas nozīmes pilsētām un novadiem.";Valsts sociālās apdrošināšanas aģentūra;Iedzīvotāji un sabiedrība, ;XLSX, ;411 skatījumi;VSAA, atbalsts naudā, invaliditātes pensijas, pensijas, ;https://data.gov.lv/dati/lv/dataset/invaliditates-pensiju-sanemeju-skaits-un-pensijas-videjais-pieskirtais-apmers
Vecuma pensiju saņēmēju skaits un pensijas vidējais piešķirtais apmērs;"Valsts sociālās apdrošināšanas uzskaitē esošie vecuma pensiju saņēmēji (personas, kurām pārskata periodā ir tiesības uz pakalpojumu, t.i., personas, kurām, pamatojoties uz personas iesniegumu,  ir piešķirts pakalpojums) un viņu piešķirtās vecuma pensijas apmērs (ar piemaksu).
Piešķirtais apmērs ir apmērs, kas personai piešķirts saskaņā ar likumdošanas normām par pilnu kalendāro mēnesi (bruto summa). 
Dati sadalījumā pēc dzimumiem, republikas nozīmes pilsētām un novadiem.";Valsts sociālās apdrošināšanas aģentūra;Iedzīvotāji un sabiedrība, ;XLSX, ;752 skatījumi;VSAA, atbalsts naudā, pensijas, vecuma pensija, ;https://data.gov.lv/dati/lv/dataset/vecuma-pensiju-sanemeju-skaits-un-pensijas-videjais-pieskirtais-apmers
Piešķirtais de minimis atbalsts Latvijā;Aktuālā informācija par atbalsta sniedzēju piešķirto de minimis atbalstu Latvijā kārtējā un divu iepriekšējo fiskālo gadu laikā. Dati ietver informāciju no de minimis atbalsta uzskaites sistēmas par atbalsta saņēmējiem piešķirto de minimis atbalstu (Ministru kabineta 21.11.2018. noteikumu Nr. 715 “Noteikumi par de minimis atbalsta uzskaites un piešķiršanas kārtību un de minimis atbalsta uzskaites veidlapu paraugiem” 31. punkts).;Finanšu ministrija;Cits;HTML, CSV, XLSX, ;698 skatījumi;De minimis atbalsts, de minimis, ;https://data.gov.lv/dati/lv/dataset/pieskirtais-de-minimis-atbalsts-latvija
Sēklaudzēšanas lauku platības;"Datu kopa aptver datus par Latvijā pavairotajām sugām un šķirnēm, kurām, atbilstoši starptautiskajām prasībām, jāveic oficiālas sēklaudzēšanas lauku apskates. Sēklaudzēšanas lauku apskates laikā Valsts augu aizsardzības dienests, pēc sēklaudzētāja pieprasījuma, pārbauda šķirnes sējumu atbilstību sēklu iegūšanai saskaņā ar sēklaudzēšanas un sēklu tirdzniecības noteikumiem. 
Sēklu sertifikācija ir šķirņu identifikācija, audzēšanas apstākļu un sēklu kvalitāti raksturojošo īpašību pārbaude, kas ietver lauku apskati, sēklu kvalitātes novērtēšanu un pēcpārbaudi un ko apstiprina attiecīgs dokuments.";Valsts augu aizsardzības dienests;Zemkopība, pārtika un mežsaimniecība, ;XLSX, ;273 skatījumi;eļļas augi, kartupeļi, labība, lauksaimniecība, lauku apskate, lopbarības augi, pavairošana, pavirojamais materiāls, pākšaugi, sertifikācija, stiebrzāles, stādīšana, sugas, sēklas, sēklaudzēšana, sēšana, tauriņžieži, šķiedraugi, šķirnes, ;https://data.gov.lv/dati/lv/dataset/kopsavilkums-par-seklaudzesanas-lauku-apskatem-pa-sugu-grupam
Latvijas meliorācijas kadastra informācija;Latvijas meliorācijas sistēmas - liekā ūdens novadīšanas sistēmas no lauksaimniecības un meža zemēm. (https://geolatvija.lv/geo/p/241);ĢEOLatvija.lv;Cits;WMS, ;344 skatījumi;ūdens, ;https://data.gov.lv/dati/lv/dataset/latvijas-meliorcijas-kadastra-informcija75
Bioloģiskās lauksaimniecības sēklu datubāzes piedāvājumu kopsavilkums;"Datu kopā pieejama informācija par bioloģiskās lauksaimniecības sēklu datubāzē tirdzniecībai piedāvāt0 bioloģiskas izcelsmes sēklas un pavairojamā materiāla apjomu.
Visiem bioloģiskas izcelmes augiem un augu produktiem jābūt audzētiem no bioloģiskās lauksaimniecības standartiem atbilstošiem augu reproduktīvajiem materiāliem (sēklām, spraudeņiem, sakneņiem utt.).
Katrai ES valstij ir jāuztur valsts bioloģiskās lauksaimniecības sēklu datubāze, lai lauksaimnieki varētu viegli identificēt bioloģisko sēklu piegādātājus savā valstī.";Valsts augu aizsardzības dienests;Valsts pārvalde, Zemkopība, pārtika un mežsaimniecība, ;XLSX, ;118 skatījumi;bio, bioloģisks, eļļas augi, labība, lauksaimniecība, lopbarības augi, pavairojamais mater..., pavairošana, pākšaugi, sertifikācija, stiebrzāles, sugas, sēja, sēkla, sēklas, sēšana, tauriņzieži, šķiedraugi, šķirnes, ;https://data.gov.lv/dati/lv/dataset/biologiskas-izcelsmes-seklas-un-pavairojama-materiala-daudzums-datubaze
Konvencionālā pavairojamā materiāla izmantošana bioloģiskajā lauksaimniecībā - izsniegto atļauju kopsavilkums;"Datu kopa aptver datus par Valsts augu aizsardzības dienesta izsniegtajām atļaujām bioloģiskajā lauksaimniecībā izmantot konvencionālas izcelsmes pavairojamo materiālu (gam sēklas, gan vēģetat'vo pavairojamo materiālu). 
Viens no galvenajiem bioloģiskās produkcijas audzēšanas pamatprincipiem nosaka, ka bioloģiskajā ražošanā tiek izmantots tikai ar bioloģiskās ražošanas metodi iegūts sēklas un veģetatīvās pavairošanas materiāls. Gadījumā, ja audzētāji nevar iegūt pavairojamo materiālu, kas ražots ar bioloģiskās ražošanas metodi, valsts var atļaut bioloģiskajā ražošanā izmantot sēklas un veģetatīvās pavairošanas materiālu, kas nav ražoti ar bioloģiskās ražošanas metodi.";Valsts augu aizsardzības dienests;Valsts pārvalde, Vide, Zemkopība, pārtika un mežsaimniecība, ;XLSX, ;296 skatījumi;augi, bio, bioloģisks, eļļas augi, konvencionāls, labības, lauksaimniecība, lopbarības augi, pavairojamais mater..., pākšaugi, stiebrzāles, stādi, stādīšana, sugas, sēja, sēkla, sēklas, sēklu maisījumi, sēšana, tauriņzieži, veģetatīvs, šķiedraugi, šķirnes, ;https://data.gov.lv/dati/lv/dataset/kopsavilkums-par-izsniegtajam-atlaujam-biologiskaja-lauksaimnieciba
Augšņu agroķīmiskās izpētes rezultāti;"Datu kopa ietver informāciju par augšņu agroķīmiskās izpētes rezultātiem lauksaimniecībā izmantojamā zemē un ietver tādus rādītājus kā kaļķojamās augsnes, to skaitā augsnes, kurām nepieciešama pamatkaļķošana; platības ar nepietiekamu organisko vielu saturu; platības ar ļoti zemu, zemu, vidēju, augstu un ļoti augstu fosfora un kālija saturu augsnē.";Valsts augu aizsardzības dienests;Reģioni un pašvaldības, Vide, Zemkopība, pārtika un mežsaimniecība, ;CSV, ;1193 skatījumi;augšņu agroķīmiskā ..., lauksaimniecība, ;https://data.gov.lv/dati/lv/dataset/augsnu-agrokimiskas-izpetes-rezultati
Patieso labuma guvēju dati atbilstoši BODS standartam;"Tiesību subjektu aktuālo patieso labuma guvēju dati pēc aktuālās standarta Beneficial Ownership Data Standard (BODS) http://standard.openownership.org/en/v0-2-0/ shēmas un funkcionālajām prasībām. BODS izšķir 3 ziņojumu veidus: 
1. ziņojumi par kontroles veidu
2. ziņojumi par iesaistīto fizisko personu
3. ziņojumi par iesaistīto tiesību subjektu
Ņemot vērā lielo datu apjomu, turpinās to izgūšanas process, atvērto datu failu pakāpeniski papildinot.";LR Uzņēmumu reģistrs;Ekonomika un uzņēmējdarbība, ;ZIP, ;118 skatījumi;bods, patiesais labuma gu..., plg, ;https://data.gov.lv/dati/lv/dataset/plg-bods
Ciemu skaits;"Datu kopa satur statistiku par administratīvo teritoriju un teritoriālā iedalījuma vienībām – ciemu skaitu.

Administratīvā teritorija – Latvijas teritoriālā iedalījuma vienība, kurā pašvaldība savas kompetences ietvaros realizē pārvaldi.
Ciems – ir teritorija, kurā dzīvo cilvēki, ir izveidoti materiālie priekšnoteikumi tās apdzīvošanai un kurai normatīvajos aktos noteiktajā kārtībā piešķirts attiecīgais apdzīvotās vietas statuss.";Valsts zemes dienests;Reģioni un pašvaldības, ;XLSX, ;591 skatījumi;Administratīvā teri..., Adrešu reģistrs, Ciems, Ciemu skaits, VZD, Valsts adrešu reģistrs, Valsts zemes dienests, teritoriālais iedal..., ;https://data.gov.lv/dati/lv/dataset/ciemu-skaits
Administratīvo teritoriju un teritoriālā iedalījuma vienību platības;"Datu kopa satur statistiku par administratīvajām teritorijām un teritoriālā iedalījuma vienību platībām.

ATVK – Administratīvo teritoriju un teritoriālo vienību klasifikatora kods.
Administratīvā teritorija – Latvijas teritoriālā iedalījuma vienība, kurā pašvaldība savas kompetences ietvaros realizē pārvaldi.

Administratīvo teritoriju un to teritoriālo vienību platības Adrešu reģistra telpiskajos datos tiek ģenerētas automātiski bez projekcijas mēroga koeficienta piemērošanas.";Valsts zemes dienests;Reģioni un pašvaldības, ;XLSX, XLS, ;1590 skatījumi;Administratīvā teri..., Adrešu reģistrs, VZD, Valsts adrešu reģistrs, Valsts zemes dienests, teritoriālo vienību..., ;https://data.gov.lv/dati/lv/dataset/administrativo-teritoriju-un-teritoriala-iedalijuma-vienibu-platibas
Zemes sadalījums zemes lietošanas veidos;"Datu kopa satur oficiālo statistiku par Nekustamā īpašuma valsts kadastra informācijas sistēmā reģistrēto zemes vienību sadalījumu zemes lietošanas veidos.

ATVK – Administratīvo teritoriju un teritoriālo vienību klasifikatora kods.
Administratīvā teritorija – Latvijas teritoriālā iedalījuma vienība, kurā pašvaldība savas kompetences ietvaros realizē pārvaldi.
Kopplatība  – zemes vienību kopējā platība.
Zemes lietošanas veidi  – zemes izmantošanas iedalījums atbilstoši Ministru kabineta 2007. gada 21. augusta noteikumiem Nr. 562 “Noteikumi par zemes lietošanas veidu klasifikācijas kārtību un to noteikšanas kritērijiem”.
Lauksaimniecībā izmantojamā zeme :
Aramzeme – zeme, ko regulāri apstrādā, vai apstrādāšanā bijusī zeme, kura pēc savām dabiskajām īpašībām izmantojama lauksaimniecības kultūraugu sējumiem, kā arī zeme meža stādāmā materiāla, augļu koku un ogulāju audzētavām;
Aramzeme – zeme, ko regulāri apstrādā, vai apstrādāšanā bijusī zeme, kura pēc savām dabiskajām īpašībām izmantojama lauksaimniecības kultūraugu sējumiem, kā arī zeme meža stādāmā materiāla, augļu koku un ogulāju audzētavām;
Augļu dārzs – zeme, uz kuras aug augļu koki, ogu krūmi un daudzgadīgi ogulāji, kas paredzēti augļu ražošanai;
Pļava – zeme, kura pēc savām dabiskajām īpašībām izmantojama zāles pļaušanai un ilglaicīgai (vairākus gadus) kultivētas (sētas) vai dabīgi veidojušās (pašiesējušās) zālveida kultūras audzēšanai;
Ganības – zeme, kuru ilglaicīgi izmanto ganīšanai un kultivētas (sētas) vai dabīgi veidojušās (pašiesējušās) zālveida kultūras lopbarības audzēšanai;
Mežs – zeme, kurā dominē koki visās attīstības stadijās, kuru augstums konkrētajā vietā var sasniegt vismaz septiņus metrus un kuru pašreizējā vai potenciālā vainagu projekcija ir vismaz 20 procenti no mežaudzes aizņemtās platības;
Krūmājs – zeme, kurā dominē kokaugi (kārkli, krūkļi, sausserži, irbenes, segliņi, korintes, lazdas, paegļi, pīlādži, ievas), kas veido vairākus līdz sešiem metriem augstus stumbrus;
Purvs – zeme ar pārmitrām, vāji aerētām kūdras augsnēm, kurās koku augstums konkrētajā vietā nevar sasniegt vairāk par septiņiem metriem un zemsedzē dominē dažādu grīšļu un sfagnu dzimtu sugas.


Ūdens objektu zeme :
Zeme zem ūdeņiem – zeme, kuru aizņem upes (tai skaitā strauti), ezeri, dīķi, ūdensnotekas (grāvji) un citas ūdenstilpes, kā arī piekrastes ūdeņi;
Zeme zem zivju dīķiem –  zeme, kuru aizņem mākslīgi ierīkotas ūdenstilpes zivju audzēšanai;


Zeme zem ēkām un pagalmiem  – zeme, kuru aizņem ēkas, būves un pagalmi, kā arī ēku un būvju uzturēšanai nepieciešamā zeme.
Zeme zem ceļiem  – zeme, kuru aizņem ielas, autoceļi un dzelzceļa vai sliežu ceļi, kā arī to nodalījuma joslas.
Pārējās zemes  – zeme, kuru aizņem smiltāji, kapsētas, parki, lauces, stigas, gravas, kraujas, nogāzes, ja tās nav uzskatāmas par mežu vai krūmāju, sēklu plantācijas un pārplūstoši klajumi, kā arī zeme, kuru izmanto derīgo izrakteņu ieguvei.

Platības noapaļotas līdz veseliem hektāriem.";Valsts zemes dienests;Reģioni un pašvaldības, ;XLSX, ;927 skatījumi;Administratīvā teri..., Aramzeme, Augļu dārzs, Citas zemes, Ganības, Kadastra informācij..., Kadastrs, Krūmājs, Lauksaimniecībā izm..., Mežs, Nekustamā īpašuma v..., Purvs, Pārējās zemes, Pļava, VZD, Valsts zemes dienests, Zeme zem ceļiem, Zeme zem zivju dīķiem, Zeme zem ēkām un pa..., Zeme zem ūdeņiem, Zemes lietošanas veidi, Ūdens objektu zeme, ;https://data.gov.lv/dati/lv/dataset/zemes-sadalijums-zemes-lietosanas-veidos
Topogrāfiskā karte mērogā 1:50 000, 2. izdevums;Pakalpojums satur karti, kas nosedz visu Latvijas teritoriju atbilstoši TKS-93 karšu lapu dalījumam un ir atvasināta no militārās topogrāfiskās kartes mērogā 1:50 000 datu bāzes. Kartes dati izvietoti vairākos slāņos, kas ietver visus galvenos apvidus objektus: hidrogrāfija, satiksmes ceļi, apbūve un saimnieciskie objekti, veģetācija, transporta tīkli (augstsprieguma elektropārvades līnijas, naftas un gāzes vadi), ģeogrāfiskie nosaukumi, rajonu, nacionālo parku un rezervātu robežas. (https://geolatvija.lv/geo/p/304);ĢEOLatvija.lv;Cits;;465 skatījumi;ETRS 1989 TM Baltic..., nenoteikts, ģeogrāfija, ;https://data.gov.lv/dati/lv/dataset/topogrfisk-karte-mrog-1-50-000-2-izdevums82
Latvijas Republikas pārskata karte mērogā 1:250000;"Pakalpojums satur Latvijas Republikas topogrāfisko pārskata karti, kurā attēlota informācija par apdzīvotām vietām, ceļu tīklu (ar ceļu indeksiem), dzelzceļa tīklu ar stacijām un pieturām, veģetāciju (meži, purvi), kūdras ieguves vietām, upju tīklu, ūdenstilpēm (lielie dīķi, ezeri), reljefa augstuma punktu atzīmēm un reljefu. Kartē atzīmētas nozīmīgākās baznīcas, kā arī bākas, lidostas un ostas.
Galvenais izejmateriāls – militārās Kopējo operāciju kartes (JOG) mērogā 1:250 000. (https://geolatvija.lv/geo/p/307)";ĢEOLatvija.lv;Cits;;143 skatījumi;ETRS 1989 TM Baltic..., nenoteikts, ģeogrāfija, ;https://data.gov.lv/dati/lv/dataset/latvijas-republikas-prskata-karte-mrog-1-25000082
Lēmumi par ietekmes uz vidi novērtējuma piemērošanu vai nepiemērošanu;Datu kopa satur informāciju par Valsts vides dienesta atbilstoši likumam “Par ietekmes uz vidi novērtējumu” pieņemtajiem lēmumiem par ietekmes uz vidi novērtējuma piemērošanu vai nepiemērošanu. Datnē iekļauta informācija par paredzēto darbību (apraksts, adrese, nozare), paredzēto darbību ierosinātāju, Valsts vides dienesta pieņemto lēmumu un lēmuma datumu.;Valsts vides dienests;Vide, ;CSV, ;395 skatījumi;;https://data.gov.lv/dati/lv/dataset/lemumi-par-ivn-piemerosanu
Izsniegtās atļaujas un licences;Datu kopas satur informāciju par Valsts vides dienesta izsniegtām atļaujām un licencēm, atļauju subjektiem un licenciātiem, kā arī atļaujās un licencēs noteikto darbību raksturojošos datus.;Valsts vides dienests;Vide, ;CSV, ;1608 skatījumi;;https://data.gov.lv/dati/lv/dataset/izsniegtas-atlaujas-un-licences
Iepirkumu uzvarētāju valstiskā piederība no zemo vai beznodokļu zonām;Publisko iepirkumu likuma (PIL), Sabiedrisko pakalpojumu sniedzēju iepirkumu likuma (SPSIL), Aizsardzības un drošības jomas iepirkumu likuma (ADJIL) un Publiskās un privātās partnerības likuma (PPPL) prasībām  publicētos paziņojumos norādīto zemo un beznodokļu zonu valstiskā piederība pa gadiem;Iepirkumu uzraudzības birojs;Ekonomika un uzņēmējdarbība, Valsts pārvalde, ;CSV, XLSX, ;240 skatījumi;2017, 2018, 2019, 2020, 2021, ADJIL, PIL, PPPL, Publikācijas, SPSIL, ;https://data.gov.lv/dati/lv/dataset/iepirkumu-uzvaretaju-valstiska-piederiba-no-zemo-vai-beznodoklu-zonam
Zemes vienību skaits administratīvajās teritorijās;"Datu kopa satur oficiālo statistiku par Nekustamā īpašuma valsts kadastra informācijas sistēmā reģistrētajām zemes vienībām.

ATVK – Administratīvo teritoriju un teritoriālo vienību klasifikatora kods.
Administratīvā teritorija – Latvijas teritoriālā iedalījuma vienība, kurā pašvaldība savas kompetences ietvaros realizē pārvaldi.
Zemes vienība – Nekustamā īpašuma valsts kadastra informācijas sistēmā reģistrēts norobežots zemesgabals, kam piešķirts kadastra apzīmējums.";Valsts zemes dienests;Reģioni un pašvaldības, ;XLSX, ;337 skatījumi;Administratīvā teri..., Kadastra informācij..., Kadastrs, Nekustamā īpašuma v..., VZD, Valsts zemes dienests, Zemes vienība, ;https://data.gov.lv/dati/lv/dataset/zemes-vienibu-skaits-administrativajas-teritorijas
Personu vārdi;Datu kopa satur statistisko informāciju, cik personas ar konkrētu personvārdu un personvārda kombināciju (vairāki vārdi) ir iekļautas Iedzīvotāju reģistrā. Jāņem vērā, ka Iedzīvotāju reģistrā ir iekļauti arī ārzemnieku personvārdi latīņalfabētiskajā transliterācijā atbilstoši ārvalsts izsniegtajam ceļošanas dokumentam (piemēram, Nicola, Alex), kas neatbilst latviešu literārās valodas normām. Dati tiek sagatavoti divas reizes gadā uz 1. janvāri un 1. jūliju.;Pilsonības un migrācijas lietu pārvalde;Iedzīvotāji un sabiedrība, ;CSV, ;1000 skatījumi;Iedzīvotāju reģistrs, PMLP, Pilsonības un migrā..., personvārdi, vārdi, vārds, ;https://data.gov.lv/dati/lv/dataset/personu-vardi
